Name of the University
"Andhra University,Visakhapatnam–530003   "
"Savitribai Phule Pune University, Pune – 411007 
7 Years Validity
"
"SVKM's Narsee Monjee Institute of Management Studies (Deemed-to-be-University u/s 3 of the UGC Act 1956), Vile Parle (W), Mumbai – 400056 "
"Tata Institute of Fundamental Research (Deemed-to-be-University u/s 3 of the UGC Act 1956), Homi Bhabha Road, Colaba, Mumbai – 400005  

"
"Institute of Chemical Technology (Deemed-to-be-University u/s 3 of the UGC Act 1956), Matunga, Mumbai – 400019 
(First Cycle)
"
"Manipur University, Canchipur, Imphal – 795003 "
"North Eastern Hill University, Mawkynroh, Umshing, Shillong – 793022 "
"Mizoram University, Aizawl "
"Nagaland University, Lumami, Zunheboto, 797001 Nagaland "
"Berhampur University, Berhampur – 760007  "
"Centurion University of Technology and Management, Sitapur, Uppalada, Parlakhemundi – 761211 "
"Kalinga Institute of Industrial Technology, Bhubaneswar – 751024  "
"Siksha ‘O’ Anusandhan University, Bhubaneshwar  "
"Veer Surendra Sai University of Technology, Sambalpur – 768018 "
"Central University of Orissa, Landiguda, Koraput – 764021
(First Cycle)
"
"Fakir Mohan University, Balasore – 756020 "
"National Institute of Technology, Rourkela – 769008  "
"National Law University, Cuttack – 753015 "
"North Orissa University, Takatpur, Baripada – 757003 "
"Ravenshaw University, Cuttack – 753003 "
"Sambalpur University, Burla – 768019 "
"Shri Jagannath Sanskrit Vishvavidyalaya, Puri – 752003  "
"Utkal University, Bhubaneswar – 751004 "
"Sri Balaji Vidyapeeth,Pondicherry  "
"Central University of Punjab, Bathinda – 151001 "
"Guru Nanak Dev University, Amritsar, 143005 Punjab "
"Panjab University, Sector 14, Chandigarh, 160014 "
"Punjabi University, Patiala – 147002 "
"Rajiv Gandhi National University of Law, Patiala, 147001 "
"Thapar Institute of Engineering and Technology University, Patiala – 147004 "
"Sant Longowal Institute of Engineering and Technology (Deemed-to-be-University u/s 3 of the UGC Act 1956), Longowal, Sangrur – 148106  "
"Institute of Advanced Studies in Education, Sardarshahar "
"Jagan Nath University, Jaipur – 303901 "
"Jaipur National University, Jaipur, 302017 "
"Mohanlal Sukhadia University, Udaipur,313039 Rajasthan   "
"The IIS University (Deemed to be University  u/s 3 of the UGC Act 1956), Mansarovar, Jaipur, 302020 Rajasthan "
"University of Kota, Kota – 324005 "
"University of Rajasthan, Jaipur – 302004  "
"Amity University Rajasthan, Jaipur – 303002 "
"Birla Institute of Technology and Science (Deemed-to-be-University u/s 3 of the UGC Act 1956), Pilani – 333031 "
"Central University of Rajasthan, Ajmer – 305817 "
"Janardhan Rai Nagar Rajasthan Vidyapeeth (Deemed-to-be-University u/s 3 of the UGC Act 1956), Pratap Nagar, Airport Road, Udaipur – 313 001 (Second Cycle, assessed as per old methodology)"
"Maharshi Dayanand Saraswati University, Ajmer – 305009 "
"Suresh Gyan Vihar University, Jagatpura, Jaipur – 302017 "
"The LNM Institute of Information Technology (Deemed-to-be-University u/s 3 of the UGC Act, 1956), Jaipur – 302031 "
"Sikkim Government College, Tadong, Gangtok - 737102 "
"Academy of Maritime Education and Training (AMET), Chennai "
"Amrita Vishwa Vidyapeetham (Deemed to be University  u/s 3 of the UGC Act 1956)Amritanagar P.O., Ettimadai Coimbatore 641112 Tamil Nadu  "
Anna UniversityChennai 600025 Tamil Nadu 
"Annamalai University,Annmalainagar, Cuddalore, 608002 Tamil Nadu  "
"B.S. Abdur Rahman Institute of Science & Technology (Deemed to be University  u/s 3 of the UGC Act 1956), Vandalur, Chennai, 600048 "
"Bharath Institute of Higher Education and Research (University), Chennai "
"Bharathiar University,Coimbatore – 641046 "
"Chennai Mathematical Institute (Deemed-to-be-University u/s 3 of the UGC Act), Chennai – 603103  "
"Chettinad Academy of Research and Education, Chennai  "
"Kalasalingam Academy of Research and Education, Srivilliputhur "
"Karpagam Academy of Higher Education,Coimbatore "
"Karunya Institute of Technology and Sciences (Deemed-to-be-University u/s 3 of the UGC Act), Coimbatore – 641114  (First Cycle, Re-assessment)"
"Madurai Kamaraj University,Palkalai Nagar, Madurai, Tamil Nadu  "
"Meenakshi Academy of Higher Education and Research, Chennai "
"Mother Teresa Women's University,Kodaikanal, 624101 "
"Noorul Islam Centre For Higher Education,Thuckalay "
"Periyar Maniammai Institute of Science and Technology, Thanjavur "
"Periyar University, Salem, 636011 "
"Ponnaiyah Ramajayam Institute of Science & Technology, Thanjavur "
"Sathyabama Institute of Science and Technology (Deemed-to-be-University u/s 3 of the UGC Act 1956), Chennai – 600119  "
"Saveetha Institute of Medical and Technical Sciences,Chennai  "
"Shanmugha Arts, Science, Technology & Research Academy (SASTRA) University (Deemed to be University  u/s 3 of the UGC Act 1956), Thanjavur, 613401 Tamil Nadu "
Sri Ramachandra University (Deemed to be University  u/s 3 of the UGC Act 1956)Porur Chennai 600116 Tamil Nadu  
"St. Peter's Institute of Higher Education and Research, Chennai  "
"University of Madras, Chepauk Campus, Chennai, 600005 Tamil Nadu "
"Vel Tech Rangarajan Dr Sagunthala R&D Institute of Science and Technology, Chennai  "
"Vellore Institute of Technology (Deemed to be University  u/s 3 of the UGC Act 1956), Vellore, 632014 "
"Vels Institute of Science, Technology and Advanced Studies(Vistas), Chennai  "
"Vinayaka Mission’s Research Foundation,Salem  "
"Alagappa University, Alagappapuram, Sivaganga, Karaikudi – 630003 
7 years Validity
"
"Central University of Tamil Nadu, Thiruvarur – 610101 "
"Dr. M. G. R. Educational and Research Institute Deemed-to-be-University u/s 3 of the UGC Act 1956), Chennai -  600095  (Second Cycle, assessed as per old methodology)"
"Gandhigram Rural Institute (Deemed-to-be-University u/s 3 of the UGC Act, 1956), Dindigul – 624302 "
"Hindustan Institute of Technology and Science (HITS) (Deemed-to-be-University u/s 3 of the UGC Act, 1956), Chennai – 603103 (First Cycle, Re-assessment) "
"Sri Chandrasekharendra Saraswathi Viswa Mahavidyalaya (Deemed-to-be-University u/s 3 of the UGC Act 1956), Enathur, Kanchipuram – 631561 (First Cycle, Re-assessment)"
"Tamil Nadu Physical Education and Sports University, Chennai – 600127  "
"Manonmaniam Sundaranar University,Abishekapatti,Tirunelveli - 627012 "
"SRM Institute of Science and Technology,SRM Nagar, Kancheepuram Dist.,Kattankulathur - 603203 "
"Maulana Azad National Urdu University, Hyderabad – 500032  "
"NALSAR University of Law, Hyderabad – 500101 "
"Telangana University, Dichpally, Nizamabad – 503322 "
"The English and Foreign Languages University, Hyderabad – 500007 "
"The ICFAI Foundation for Higher Education (Deemed to be University  u/s 3 of the UGC Act 1956), Donthanapalli, Hyderabad, 501203 "
"University of Hyderabad, Hyderabad, 500046 "
"International Institute of Information Technology (Deemed-to-be-University u/s 3 of the UGC Act 1956), Gachibowli, Hyderabad – 500032 "
"Mahatma Gandhi University, Nalgonda – 508254 "
Jawaharlal Nehru Technological University Hyderabad – 500085 
"Kakatiya University, Vidyaranyapuri, Hanamkonda, Warangal – 506009(Third Cycle)"
"Osmania University, Hyderabad – 500007 
(Third Cycle)
"
"Tripura University, Suryamaninagar, Agartala – 799022 "
"Aligarh Muslim University, Aligarh, 202002 "
"Babasaheb Bhimrao Ambedkar University, Lucknow, 226025 "
"Banaras Hindu University, Varanasi, 221005 "
"Ch. Charan Singh University, Meerut – 250005 "
"Chhatrapati Shahu Ji Maharaj University, Kanpur, 208024 "
"Dayalbagh Educational Institute (Deemed to be University u/s 3 of the UGC Act, 1956), Dayalbagh, Agra, Uttar Pradesh(Second Cycle)"
"Integral University, Lucknow, 226026 "
"Jaypee Institute of Information Technology, Noida "
"Mahatma Jyotiba Phule Rohilkhand University, Bareilly – 243006  "
"Nehru Gram Bharti University, Allahabad "
"sam Higginbottom Institute of Agriculture, Technology & Sciences (Formerly Allahabad Agricultural Institute) (Deemed to be University u/s 3 of the UGC Act, 1956),Allahabad, Uttar Pradesh(Second Cycle)"
"Sampurnanand Sanskrit University, Jagatganj, Varanasi, 221002 Uttar Pradesh  "
"Santosh University, Ghaziabad "
"Shobhit Institute of Engineering and Technology, Meerut  "
"University of Lucknow, Lucknow, 226007  Uttar Pradesh "
"Bundelkhand University, Jhansi – 284128 "
"Dr. Bhim Rao Ambedkar University, Agra – 282004 "
"GLA University, Chaumuhan, Mathura – 281406 

"
"King George Medical University, Lucknow – 226003 

"
"Sharda University, Greater Noida – 201306  (Assessed prior to July 2016)"
"Swami Vivekanand Subharti University, Meerut – 250005 "
"Teerthanker Mahaveer University, Moradabad – 244001 "
"Veer Bahadur Singh Purvanchal University, Jaunpur – 222003(Second Cycle)"
"IFTM University, Moradabad – 244102 
(First Cycle)
"
"Dev Sanskriti Vishwavidyalaya, Haridwar – 249411 "
"Graphic Era University, Dehradun "
"Gurukula Kangri Vishwavidyalaya, Haridwar  "
"Hemwati Nandan Bahuguna Garhwal University, Srinagar – Garhwal, Pauri – 246174  "
"Kumaun University, Nainital – 263001 "
"University of Petroleum and Energy Studies, Energy Acres, PO Bidholi Via Prem Nagar, Dehradun -248007  Re-Assessment "
"Doon University, Dehradun – 248001 "
"Uttarakhand Sanskrit University,Haridwar-Delhi National Highway-58, Bahadrabad,Haridwar - 249402 "
"Jadavpur University
Kolkata 700032 West Bengal  
7 Years Validity
"
"Rabindra Bharati University, Kolkata – 700050 "
"University of Gour Banga, Malda – 732103 "
"Vidyasagar University, Midnapore, Dist. Paschim Medinipur, 721102 West Bengal
  
"
"Visva-Bharati, Birbhum, 731235 "
"Presidency University, Kolkata – 700073 "
"University of Burdwan, Bardhaman – 713104 "
"University of Calcutta, Kolkata – 700073  "
"University of Kalyani, Kalyani, Nadia – 741235 "
"University of North Bengal, Darjeeling – 734430  "
"Maulana Abul Kalam Azad University of Technology, Salt Lake, Kolkata – 700064 
(First Cycle)
"
